position,season,games_played_season,fantasy_points,player_type,points_per_game
RB,2020,16.0,310.1,offensive,19.38
WR,2020,7.0,41.900000000000006,offensive,5.99
WR,2020,15.0,96.6,offensive,6.44
RB,2020,5.0,25.0,offensive,5.0
WR,2020,14.0,53.300000000000004,offensive,3.81
RB,2020,6.0,3.5,offensive,0.58
QB,2020,12.0,304.4,offensive,25.37
WR,2020,4.0,40.9,offensive,10.22
RB,2020,15.0,64.7,offensive,4.31
WR,2020,11.0,118.4,offensive,10.76
WR,2020,5.0,4.7,offensive,0.94
WR,2020,14.0,150.44,offensive,10.75
RB,2020,12.0,28.1,offensive,2.34
WR,2020,15.0,419.9,offensive,27.99
RB,2020,15.0,185.70000000000002,offensive,12.38
QB,2020,5.0,214.64000000000001,offensive,42.93
TE,2020,14.0,131.3,offensive,9.38
WR,2020,11.0,1.2000000000000002,offensive,0.11
WR,2020,11.0,65.1,offensive,5.92
QB,2020,15.0,391.98,offensive,26.13
TE,2020,14.0,140.8,offensive,10.06
WR,2020,5.0,7.300000000000001,offensive,1.46
WR,2020,10.0,29.3,offensive,2.93
RB,2020,15.0,163.2,offensive,10.88
QB,2020,11.0,20.58,offensive,1.87
WR,2020,11.0,227.9,offensive,20.72
TE,2020,14.0,69.4,offensive,4.96
WR,2020,16.0,148.9,offensive,9.31
TE,2020,6.0,26.3,offensive,4.38
QB,2020,4.0,14.52,offensive,3.63
WR,2020,15.0,167.10000000000002,offensive,11.14
TE,2020,5.0,44.0,offensive,8.8
WR,2020,7.0,6.6,offensive,0.94
RB,2020,14.0,231.9,offensive,16.56
RB,2020,12.0,2.7,offensive,0.22
WR,2020,14.0,98.10000000000001,offensive,7.01
RB,2020,9.0,22.400000000000002,offensive,2.49
QB,2020,10.0,206.28000000000003,offensive,20.63
TE,2020,5.0,5.1000000000000005,offensive,1.02
QB,2020,16.0,182.62,offensive,11.41
WR,2020,9.0,10.400000000000002,offensive,1.16
WR,2020,15.0,176.2,offensive,11.75
TE,2020,13.0,72.9,offensive,5.61
TE,2020,8.0,52.3,offensive,6.54
TE,2020,15.0,56.7,offensive,3.78
WR,2020,15.0,131.57999999999998,offensive,8.77
